features,sing,acc,auc
40.0,0.0,0.7300000071525574,0.8169831285168918
40.0,50.0,0.7299999952316284,0.8121244400107525
40.0,100.0,0.7,0.757210396519995
80.0,0.0,0.7324999928474426,0.8502532685455222
80.0,50.0,0.7700000047683716,0.8248869047265337
80.0,100.0,0.7274999976158142,0.8085201212601676
120.0,0.0,0.7700000166893005,0.8751049013828828
120.0,50.0,0.7899999976158142,0.8750904851522234
120.0,100.0,0.7500000119209289,0.8197931870946821
160.0,0.0,0.7799999952316284,0.8534106864275826
160.0,50.0,0.7475000023841858,0.847889550193399
160.0,100.0,0.7147727305238897,0.7762226681836876
200.0,0.0,0.7574999928474426,0.8820715956393705
200.0,50.0,0.7699999928474426,0.8573073758353813
200.0,100.0,0.7345000004768372,0.7802889718525815
